BROOKSWOOD REMEDY'SRX,"100 - 20103 40 Ave Langley, BC V3A 2W3 CANADA",604-427-2140,604-427-2141
BUDGET PHARMACY,"5-301 Festubert St Duncan, BC V9L 3T1 CANADA",250-597-7751,250-597-7752
BULA PHARMACY,"33634 Busby Rd Abbotsford, BC V2S 1V2 CANADA",604-850-2588,604-850-3528
BURKE MOUNTAIN PHARMACY,"110 - 1465 Salisbury Ave Port Coquitlam, BC V3B 6J3 CANADA",604-941-5575,604-941-5576
BURNABY PHARMACY,"100A - 3300 Boundary Rd Burnaby, BC V5M 4A4 CANADA",604-453-0136,604-453-0137
BURNABY SQUARE PHARMACY,"#107 - 7885 6th St Burnaby, BC V3N 3N4 CANADA",604-523-1400,604-523-1404
C.R.C. DRUGS,"1008 - 8181 Cambie Road Richmond, BC V6X 3X9 CANADA",604-285-2555,604-285-2556
CALEA PHARMACY,"#130 - 8061 Lougheed Hwy Burnaby, BC V5A 1W9 CANADA",604-294-1500,604-299-3940
CAMPBELL RIVER HEALTH & DRUG STORE,"Unit B1B - 465 Merecroft Rd Campbell River, BC V9W 6K6 CANADA",250-286-1771,250-286-4662
CANADAWIDE PHARMACY,"#102 - 15129 100 Ave Surrey, BC V3R 9P4 CANADA",604-581-4000,604-581-4187
CANDRUG,"#202 - 8322 130 St Surrey, BC V3W 8J9 CANADA",604-543-8711,604-507-8706
CANPHARM DRUGS,"5853 Victoria Drive Vancouver, BC V5P 3W5 CANADA",604-321-5133,604-324-4510
CAPITOL HILL PHARMACY,"4655 Hastings St Burnaby, BC V5C 2K6 CANADA",604-299-9255,604-299-9257
CARE BOOST PHARMACY,"#101 - 9450 120 St Surrey, BC V3V 4B9 CANADA",604-582-5111,604-582-6262
CARE FIRST PHARMACY,"7612 6th Street Burnaby, BC V3N 0G6 CANADA",604-553-8611,604-553-8610
CARE IN MOTION PHARMACY,"2 - 9880 120 St Surrey, BC V3V 4C9 CANADA",604-496-2225,604-496-2234
CARE IN PHARMACY,"33083 1st Ave Mission, BC V2V 1G2 CANADA",604-287-2999,604-287-2900
CARE N CURE PHARMACY,"177 - 8138 128 St Surrey, BC V3W 1R1 CANADA",604-598-3233,604-598-3234
CARERX OKANAGAN,"107 - 2714 Highway 97 N Kelowna, BC V1X 4J7 CANADA",778-940-7288,778-738-1698
CARERX PARKSVILLE,"Units 1 & 2 1176 Franklin's Gull Rd Parksville, BC V9P 2M9 CANADA",250-954-3666,250-954-3633
CARERX VANCOUVER,"8610 Commerce Court Burnaby, BC V5A 4N6 CANADA",604-985-8844,604-985-8842
CARERX VANCOUVER DOWNTOWN,"790 East Hastings St. Vancouver, BC V6A 1R5 CANADA",604-254-4633,604-254-6453
CARERX VICTORIA,"570 Bay St Victoria, BC V8T 1P9 CANADA",250-590-3778,778-430-5988
CAREVILLE PHARMACY FLEETWOOD,"107 - 8927 152 St Surrey, BC V3R 4E5 CANADA",604-634-1074,604-634-1075
CARMI REMEDY'SRX,"25 - 725 Carmi Ave Penticton, BC V2A 3G8 CANADA",778-476-0010,778-476-0944
CASCADE PHARMACY,"Unit A - 46298 Yale Rd Chilliwack, BC V2P 2P6 CANADA",604-795-6122,604-795-3065
CATES MEDICINE CENTRE,"203 - 495 Trunk Rd Bowen Island, BC V0N 1G0 CANADA",604-947-0766,604-947-0736
CEDAR HILLS DRUG MART,"10269 128 St Surrey, BC V3T 2Z2 CANADA",604-930-0030,604-930-0031
CENTRAL DRUGS - BEBAN PLAZA,"#16 - 2220 Bowen Road Nanaimo, BC V9S 1H9 CANADA",250-758-7711,250-758-7765
CENTRAL DRUGS - BRICKYARD,"#102 - 6010 Brickyard Road Nanaimo, BC V9V 1S5 CANADA",250-751-2576,250-751-2439
CENTRAL DRUGS - COLVILE,"102-1515 Dufferin Cres Nanaimo, BC V9S 5H6 CANADA",778-441-5140,778-441-5141
CENTRAL DRUGS - DUFFERIN,"#101 - 1125 Dufferin Cr. Nanaimo, BC V9S 2B5 CANADA",250-716-0063,250-716-0005
CENTRAL DRUGS - DUNSMUIR,"495A Dunsmuir St Nanaimo, BC V9R 6B9 CANADA",250-753-6401,250-753-6487
CENTRAL DRUGS - LANTZVILLE,"7186 Lantzville Rd Box 328 Lantzville, BC V0R 2H0 CANADA",250-390-4423,250-390-4425
CENTRAL DRUGS - PACIFIC STATION,"103 - 5160 Dublin Way Nanaimo, BC V9T 0H2 CANADA",250-585-6178,250-585-6179
CENTRAL LONSDALE PHARMACY,"1562 Lonsdale Ave North Vancouver, BC V7M 2J3 CANADA",604-971-4464,604-971-4465
CENTRAL PARK PHARMACY,"3963 Kingsway Burnaby, BC V5H 1Y7 CANADA",604-433-0110,604-433-0110
CHEMMART PHARMACY,"1900 - 8171 Ackroyd Rd Richmond, BC V6X 3K1 CANADA",604-270-9091,604-270-9092
CHETWYND DRUG MART PHARMACHOICE #9099,"4733 - 51st Street Box 728 Chetwynd, BC V0C 1J0 CANADA",250-788-3393,250-788-2386
CHILLIWACK PHARMACY,"101- 45863 Yale Rd Chilliwack, BC V2P2N6 CANADA",604-402-3100,604-402-3101
CHOICES PHARMACY,"105 - 9093 King George Blvd. Surrey, BC V3V 5V7 CANADA",604-593-5322,604-593-5320
CITY CENTRE REMEDY'SRX,"399 Main St Penticton, BC V2A 5B7 CANADA",250-770-0047,250-770-8853
CLAYTON HEIGHTS CARE FIRST PHARMACY,"Unit #101 19390 68 Ave Surrey, BC V4N 6A9 CANADA",604-510-3549,604-510-3568
CLAYTON HEIGHTS PHARMACY,"102 - 7170 188 St Surrey, BC V4N 6R4 CANADA",604-372-3808,604-372-3812
CLEARBROOK PHARMACY,"#1 - 2629 Cedar Park Place Abbotsford, BC V2T 3S4 CANADA",604-852-4466,604-744-3444
CLINIC DRUG STORE,"Medical Building 816 - 103rd Ave. Dawson Creek, BC V1G 2E9 CANADA",250-782-3100,250-782-8120
CLOUD PHARMACY,"4918 Victoria Drive Vancouver, BC V5P 3T6 CANADA",604-558-1690,604-558-1691
COAL HARBOUR PHARMACY,"Unit B - 622 Bute St Vancouver, BC V6E 3M1 CANADA",604-336-3038,604-336-3044
COASTAL CARE PHARMACY,"101 - 10183 152A St Surrey, BC V3R 4H6 CANADA",604-588-0484,604-588-0485
COASTAL CARE PHARMACY #2,"103 - 15420 Fraser Hwy Surrey, BC V3R 3P5 CANADA",604-589-9064,604-589-9066
